Depth,WOB,SURF_RPM,ROP_AVG,PHIF,VSH,SW,KLOGH
3445,60644.639,1.9690419,0.006782514,0.07890527,0.062588588,0.999991806,0.001
3450,52260.516,1.9936775,0.006787761,0.095700092,0.089433021,1,0.001
3455,21961.023,1.999962,0.007366238,0.094331718,0.102332502,1,0.001
3460,25584.316,2.0026298,0.007364738,0.087120269,0.124620505,1,0.001
3465,19615.561,1.9985111,0.007384952,0.123971971,0.082058337,1,0.001
3470,46578.191,1.9961233,0.007362267,0.105504189,0.103100923,1,0.001
3475,43748.485,2.0013828,0.002969283,0.103983227,0.080596944,1,0.001
3480,31236.811,1.9993623,0.002709624,0.086571257,0.139694785,1,0.001
3485,30930.061,2.0007435,0.00271752,0.08642679,0.114576758,1,0.001
3490,28597.029,1.999536,0.002717936,0.090819492,0.108599717,1,0.001
3495,17397.72,1.9998483,0.002977361,0.064107145,0.128194534,1,0.001
3500,16961.916,2.000243,0.005830393,0.037509365,0.116320426,1,0.001
3505,27492.81,1.9988978,0.007372569,0.074408957,0.144790128,1.000007899,0.001
3510,36827.998,1.9994763,0.007392813,0.098724563,0.09470689,1,0.001
3515,38973.617,2.0011975,0.007370239,0.086612015,0.108479018,1,0.001
3520,42748.817,2.0015654,0.006795336,0.060490959,0.193100161,1,0.001
3525,49323.529,2.0011172,0.006800207,0.077220248,0.153450212,1,0.001
3530,52143.353,2.0002998,0.00678724,0.07533078,0.124592334,1,0.001
3535,47116.201,2.0001419,0.007423873,0.050825772,0.085855181,1,0.001
3540,45256.052,2.0000451,0.008821571,0.066195214,0.096113034,1,0.001
3545,24169.525,1.9989966,0.008818794,0.093641539,0.074818295,0.999958511,0.001
3550,25216.418,2.0021794,0.008813248,0.066022212,0.151842742,1,0.001
3555,35156.044,1.9968011,0.008807715,0.070435349,0.183632667,1,0.001
3560,38720.898,2.0000476,0.008170764,0.057836557,0.155624903,1,0.001
3565,50070.063,2.0011927,0.008164484,0.046429118,0.241540435,0.995120274,0.001
3580,35255.786,1.9994589,0.00882018,0.050159947,0.208637022,1.000395106,0.001
3585,40459.226,2.0012029,0.008815684,0.054152832,0.098029687,1.00000041,0.001
3590,53818.568,1.9967973,0.008730971,0.041167097,0.212177894,1,0.001
3595,47348.517,1.9992992,0.005835064,0.038702674,0.074519685,1,0.001
3600,47973.155,1.9991181,0.006278418,0.025062359,0.049672503,1,0.001
3605,57163.252,2.0001232,0.0067899,0.032553056,0.053979296,1,0.001
3610,54784.334,1.998629,0.007575459,0.021621591,0.049450715,1,0.001
3615,31588.059,1.9987412,0.00875462,0.037590961,0.360765948,1,0.001
3620,26071.437,1.9990087,0.008913036,0.05672014,0.208865467,1,0.001
3625,17368.556,2.0012328,0.008927728,0.042520076,0.191015706,0.999533423,0.001
3630,35515.373,2.0006316,0.008823135,0.005167866,0.163397119,1,0.001
3635,37465.439,1.9984886,0.008819878,0.02718172,0.176867886,1,0.001
3640,39125.127,1.9996975,0.008082393,0.047603772,0.224023104,1,0.001
3645,60931.909,2.0001934,0.007944747,0.026774236,0.155633053,1,0.001
3650,51585.186,2.000514,0.008765452,0.106339429,0.625479087,1,0.001
3655,36926.625,1.9974083,0.008827132,0.044834784,0.387715599,1,0.001
3660,31738.087,2.0004952,0.008824352,0.044974526,0.234647717,1,0.001
3665,48944.501,2.0000077,0.008804099,0.040471389,0.262833373,1,0.001
3670,55795.577,1.9993536,0.008816038,0.055925293,0.346865858,1,0.001
3675,48287.015,2.0001456,0.008824121,0.055066278,0.361096591,1,0.001
3680,44576.612,2.0006543,0.008157174,0.033129445,0.342980278,1,0.001
3685,34623.502,2.0000769,0.008162155,0.058048284,0.390985517,1,0.001
3690,37186.386,2.0010945,0.008101219,0.031583967,0.226502681,1,0.001
3695,46500.937,2.0009014,0.008806543,0.025940354,0.163647581,1,0.001
3700,29632.597,2.0003736,0.008728918,0.038539255,0.365891609,1,0.001
3705,40381.839,1.9999024,0.009479081,0.042935351,0.360160649,1,0.001
3710,44243.48,2.0000417,0.009073994,0.02884558,0.267862622,1,0.001
3715,39579.177,2.0015359,0.009189964,0.036167906,0.294875364,1,0.001
3720,52606.802,1.9975223,0.008370145,0.032926238,0.29050278,1,0.001
3725,51065.323,2.0020727,0.008165979,0.040825294,0.293054655,1,0.001
3730,66499.772,1.9976212,0.008152651,0.041629136,0.308985114,1,0.001
3735,40711.114,1.999127,0.009490072,0.054674074,0.379354737,1,0.001
3740,39286.239,1.9980177,0.005869596,0.05665974,0.379345028,1,0.001
3745,70948.749,1.9989053,0.008608125,0.071144798,0.387611986,1,0.001
3750,31209.191,2.0003061,0.008699834,0.071399259,0.455446648,1,0.001
